region,peak_BE,centroid_BE,shirley_area
F 1s,686.396,690.8290035013052,1990.5882914831805
O 1s,530.4960000000001,531.3990314895811,65972.50966155397
Ti 2p,459.1960000000001,461.07833344335376,38710.689671322194
K 2p,304.59599999999995,303.0275293944664,14.138003694043341
C 1s,284.8959999999999,285.7234437181951,3415.809699091552
Cl 2p,200.49600000000004,201.3926461726537,659.4502902695504
S 2p,177.8959999999999,178.0337210930389,15.514095504930665
Si 2s,153.59599999999995,156.1814029664887,2595.0002301744526
P 2p,142.69600000000008,137.07896109143874,1102.0102893095116
Al 2s,120.09599999999995,120.01702078921906,3326.189027235079
Si 2p,102.19600000000008,101.78031906518072,855.6798254684606
Al 2p,75.3959999999999,76.76695125563256,2662.2563300232605
