region,peak_BE,centroid_BE,shirley_area,RSF,norm_area,element,at_percent
O 1s,530.4960000000001,531.3990314895811,65972.50966155397,0.66,99958.34797205146,O,63.23723770927181
Ti 2p,459.1960000000001,461.07833344335376,38710.689671322194,1.8,21505.938706290108,Ti,13.605428518195886
Al 2p,75.3959999999999,76.76695125563256,2662.2563300232605,0.19,14011.875421175055,Al,8.864415176302208
C 1s,284.8959999999999,285.7234437181951,3415.809699091552,0.25,13663.238796366208,C,8.643855137401209
Si 2p,102.19600000000008,101.78031906518072,855.6798254684606,0.27,3169.1845387720764,Si,2.004939858338934
P 2p,142.69600000000008,137.07896109143874,1102.0102893095116,0.39,2825.667408485927,P,1.7876185953746249
F 1s,686.396,690.8290035013052,1990.5882914831805,1.0,1990.5882914831805,F,1.2593175810089539
Cl 2p,200.49600000000004,201.3926461726537,659.4502902695504,0.73,903.3565620130827,Cl,0.5714957760628889
S 2p,177.8959999999999,178.0337210930389,15.514095504930665,0.54,28.72980649061234,S,0.018175506490925714
K 2p,304.59599999999995,303.0275293944664,14.138003694043341,1.19,11.880675373145666,K,0.007516141552563166
